"scientificname";"worms_id";"rank";"species";"worms_id_species";"count"
"Paralia sulcata";149055;"Species";"Paralia sulcata";149055;26845
"Hydrozoa";1337;"Class";"";;26771
"Myoxocephalus scorpius";127203;"Species";"Myoxocephalus scorpius";127203;26638
"Agonus cataphractus";127190;"Species";"Agonus cataphractus";127190;26590
"Larus michahellis";232052;"Species";"Larus michahellis";232052;26166
"Ceratium horridum";109956;"Species";"Ceratium horridum";109956;25970
"Pseudocalanus minutus";104517;"Species";"Pseudocalanus minutus";104517;25213
"Acartia (Acartiura) longiremis";346037;"Species";"Acartia (Acartiura) longiremis";346037;25177
"Appendicularia";146421;"Class";"";;24805
"Asterias rubens";123776;"Species";"Asterias rubens";123776;24776
"Nephrops norvegicus";107254;"Species";"Nephrops norvegicus";107254;24597
"Phocoena phocoena";137117;"Species";"Phocoena phocoena";137117;24537
"Spiophanes bombyx";131187;"Species";"Spiophanes bombyx";131187;24323
"Hydrobia";138081;"Genus";"";;24005
"Lophius piscatorius";126555;"Species";"Lophius piscatorius";126555;23683
"Neogloboquadrina pachyderma sinistralis";;"Subspecies";"Neogloboquadrina pachyderma";113458;23674
"Cancer pagurus";107276;"Species";"Cancer pagurus";107276;23636
"Pseudo-nitzschia seriata";149152;"Species";"Pseudo-nitzschia seriata";149152;23501
"Metridia longa";104632;"Species";"Metridia longa";104632;23289
"Trisopterus luscus";126445;"Species";"Trisopterus luscus";126445;23260
"Glyptocephalus cynoglossus";127136;"Species";"Glyptocephalus cynoglossus";127136;23152
"Larus";137043;"Genus";"";;22943
"Bivalvia";105;"Class";"";;22910
"Rhizosolenia styliformis";149629;"Species";"Rhizosolenia styliformis";149629;22348
"Paracalanus parvus";104685;"Species";"Paracalanus parvus";104685;22276
"Gymnodinium";109475;"Genus";"";;21887
"Clausocalanus";104161;"Genus";"";;21695
"Lagis koreni";152367;"Species";"Lagis koreni";152367;21600
"Physeter macrocephalus";137119;"Species";"Physeter macrocephalus";137119;21546
"Evadne";106267;"Genus";"";;21520
"Sterna";137047;"Genus";"";;21309
"Tripos lineatus";837459;"Species";"Tripos lineatus";837459;20822
"Skeletonema costatum";149074;"Species";"Skeletonema costatum";149074;20143
"Radiozoa";582421;"Phylum";"";;19836
"Pholoe inornata";130601;"Species";"Pholoe inornata";130601;19805
"Haliclona";131834;"Genus";"";;19732
"Tripos longipes";841259;"Species";"Tripos longipes";841259;19667
"Callionymus maculatus";126793;"Species";"Callionymus maculatus";126793;19525
"Echiichthys vipera";150630;"Species";"Echiichthys vipera";150630;19496
"Corophium volutator";102101;"Species";"Corophium volutator";102101;19480
"Mesodinium rubrum";232069;"Species";"Mesodinium rubrum";232069;19171
"Prosbocia alata";149168;"Species";"Prosbocia alata";149168;19170
"Eutintinnus";183543;"Genus";"";;19136
"Nephtys";129370;"Genus";"";;18941
"Phalacrocorax aristotelis";137178;"Species";"Phalacrocorax aristotelis";137178;18903
"Microchirus variegatus";274304;"Species";"Microchirus variegatus";274304;18875
"Clangula hyemalis";137071;"Species";"Clangula hyemalis";137071;18793
"Tubificoides benedii";137571;"Species";"Tubificoides benedii";137571;18702
"Loligo forbesii";416668;"Species";"Loligo forbesii";416668;18640
"Lanice conchilega";131495;"Species";"Lanice conchilega";131495;18570
"Animalia";2;"Kingdom";"";;18450
"Squalus acanthias";105923;"Species";"Squalus acanthias";105923;18430
"Capitella capitata";129876;"Species";"Capitella capitata";129876;18388
"Metridia";104190;"Genus";"";;18080
"Cerastoderma edule";138998;"Species";"Cerastoderma edule";138998;18040
"Globigerina bulloides";113434;"Species";"Globigerina bulloides";113434;18040
"Nitzschia delicatissima";149318;"Species";"Nitzschia delicatissima";149318;17949
"Polyplumaria";117197;"Genus";"";;17788
"Nitzschia longissima";149150;"Species";"Nitzschia longissima";149150;17613
"Turborotalita quinqueloba";113462;"Species";"Turborotalita quinqueloba";113462;17605
"Dinophyceae";19542;"Class";"";;17596
"Oncaea";128690;"Genus";"";;17555
"Prorocentrum micans";110303;"Species";"Prorocentrum micans";110303;17540
"Scrippsiella";109545;"Genus";"";;17512
"Coscinodiscus";148917;"Genus";"";;17427
"Thalassiothrix longissima";157083;"Species";"Thalassiothrix longissima";157083;17357
"Ophiura albida";124913;"Species";"Ophiura albida";124913;17320
"Terebellides stroemii";131573;"Species";"Terebellides stroemii";131573;17233
"Buccinum undatum";138878;"Species";"Buccinum undatum";138878;17218
"Arctica islandica";138802;"Species";"Arctica islandica";138802;16795
"Rhizosolenia semispina";163348;"Species";"Rhizosolenia semispina";163348;16772
"Scophthalmus maximus";127149;"Species";"Scophthalmus maximus";127149;16696
"Gammaproteobacteria";393018;"Class";"";;16670
"Stercorarius skua";137174;"Species";"Stercorarius skua";137174;16491
"Ulva";144296;"Genus";"";;16378
"Raja clavata";105883;"Species";"Raja clavata";105883;16336
"Phalacrocorax carbo";137179;"Species";"Phalacrocorax carbo";137179;16322
"Perca fluviatilis";151353;"Species";"Perca fluviatilis";151353;16225
"Hydrobates pelagicus";137189;"Species";"Hydrobates pelagicus";137189;16217
"Podon";106269;"Genus";"";;16164
"Biota";1;"Superdomain";"";;16131
"Katsuwonus pelamis";127018;"Species";"Katsuwonus pelamis";127018;15882
"Pleuromamma robusta";104642;"Species";"Pleuromamma robusta";104642;15846
"Rhizosolenia delicatula";149114;"Species";"Rhizosolenia delicatula";149114;15708
"Gastropoda";101;"Class";"";;15636
"Alcyonium digitatum";125333;"Species";"Alcyonium digitatum";125333;15620
"Dinophysis";109462;"Genus";"";;15582
"Eteone longa";130616;"Species";"Eteone longa";130616;15510
"Amphiura filiformis";125080;"Species";"Amphiura filiformis";125080;15305
"Pseudocalanus";104165;"Genus";"";;15221
"Mergus serrator";159098;"Species";"Mergus serrator";159098;15163
"Diastylis rathkei";110487;"Species";"Diastylis rathkei";110487;15028
"Ciliophora";11;"Phylum";"";;14965
"Ammodytidae";125516;"Family";"";;14949
"Carcinus maenas";107381;"Species";"Carcinus maenas";107381;14931
"Chelidonichthys lucerna";127262;"Species";"Chelidonichthys lucerna";127262;14817
"Anguilla anguilla";126281;"Species";"Anguilla anguilla";126281;14784
"Tursiops truncatus";137111;"Species";"Tursiops truncatus";137111;14773
"Bryozoa";146142;"Phylum";"";;14695
"Fabulina fabula";146907;"Species";"Fabulina fabula";146907;14694
"Gyrodinium";109476;"Genus";"";;14604
"Dinophysis acuminata";109603;"Species";"Dinophysis acuminata";109603;14136
"Echinus esculentus";124287;"Species";"Echinus esculentus";124287;14106
"Chaetozone setosa";129955;"Species";"Chaetozone setosa";129955;13876
"Gadiculus argenteus";126435;"Species";"Gadiculus argenteus";126435;13636
"Echinocardium cordatum";124392;"Species";"Echinocardium cordatum";124392;13587
"Anthozoa";1292;"Class";"";;13520
"Arenicola marina";129868;"Species";"Arenicola marina";129868;13515
"Caballeraxine";518920;"Genus";"";;13513
"Thunnus obesus";127028;"Species";"Thunnus obesus";127028;13482
"Biddulphia sinensis";148969;"Species";"Biddulphia sinensis";148969;13440
"Monoporeia affinis";103077;"Species";"Monoporeia affinis";103077;13431
"Corallinaceae";143691;"Family";"";;13425
"Hyperoplus lanceolatus";126756;"Species";"Hyperoplus lanceolatus";126756;13397
"Paraeuchaeta norvegica";104566;"Species";"Paraeuchaeta norvegica";104566;13379
"Capros aper";127419;"Species";"Capros aper";127419;13351
"Notomastus latericeus";129898;"Species";"Notomastus latericeus";129898;13335
"Globigerinita glutinata";113464;"Species";"Globigerinita glutinata";113464;13322
"Melanitta fusca";137072;"Species";"Melanitta fusca";137072;13316
"Leucoraja naevus";105876;"Species";"Leucoraja naevus";105876;13251
"Rutilus rutilus";154333;"Species";"Rutilus rutilus";154333;13198
"Scalibregma inflatum";130980;"Species";"Scalibregma inflatum";130980;13114
"Pagurus bernhardus";107232;"Species";"Pagurus bernhardus";107232;13004
"Cirripedia";1082;"Infraclass";"";;12958
"Nephtys cirrosa";130357;"Species";"Nephtys cirrosa";130357;12926
"Pleurosigma";149181;"Genus";"";;12805
"Calanus glacialis";104465;"Species";"Calanus glacialis";104465;12782
"Anas platyrhynchos";148791;"Species";"Anas platyrhynchos";148791;12734
"Phaxas pellucidus";140737;"Species";"Phaxas pellucidus";140737;12727
"Calanus euxinus";104463;"Species";"Calanus euxinus";104463;12523
"Crangon crangon";107552;"Species";"Crangon crangon";107552;12511
"Zoarces viviparus";127123;"Species";"Zoarces viviparus";127123;12502
"Alphaproteobacteria";392750;"Class";"";;12499
"Necora puber";107398;"Species";"Necora puber";107398;12438
"Stenella coeruleoalba";137107;"Species";"Stenella coeruleoalba";137107;12403
"Scrobicularia plana";141424;"Species";"Scrobicularia plana";141424;12365
"Littorina saxatilis";140264;"Species";"Littorina saxatilis";140264;12358
"Corycaeus";128634;"Genus";"";;12336
"Owenia fusiformis";130544;"Species";"Owenia fusiformis";130544;12320
"Thyasira flexuosa";141662;"Species";"Thyasira flexuosa";141662;12311
"Xiphias gladius";127094;"Species";"Xiphias gladius";127094;12284
"Phoronis muelleri";128549;"Species";"Phoronis muelleri";128549;12201
"Galathowenia oculata";146950;"Species";"Galathowenia oculata";146950;12195
"Ostracoda";1078;"Class";"";;12133
"Helicolenus dactylopterus";127251;"Species";"Helicolenus dactylopterus";127251;12054
"Ctenolabrus rupestris";126964;"Species";"Ctenolabrus rupestris";126964;11925
"Proboscia alata";149168;"Species";"Proboscia alata";149168;11910
"Rhodophyta";852;"Division";"";;11909
"Gadidae";125469;"Family";"";;11870
"Rhizosolenia imbricata shrubsolei";;"Subspecies";"Rhizosolenia imbricata";149116;11668
"Littorina littorea";140262;"Species";"Littorina littorea";140262;11586
"Goniada maculata";130140;"Species";"Goniada maculata";130140;11552
"Coccolithaceae";178597;"Family";"";;11545
"Prionospio fallax";131157;"Species";"Prionospio fallax";131157;11513
"Steromphala cineraria";1039839;"Species";"Steromphala cineraria";1039839;11470
"Cepphus grylle";137130;"Species";"Cepphus grylle";137130;11433
"Raja montagui";105887;"Species";"Raja montagui";105887;11405
"Emiliania huxleyi";115104;"Species";"Emiliania huxleyi";115104;11180
"Prorocentrum";109566;"Genus";"";;11073
"Crustacea";1066;"Subphylum";"";;11071
"Ophiura";123574;"Genus";"";;10983
"Chaetoceros danicus";149120;"Species";"Chaetoceros danicus";149120;10901
"Leptocylindrus danicus";149106;"Species";"Leptocylindrus danicus";149106;10796
"Globoconella inflata";1026410;"Species";"Globoconella inflata";1026410;10765
"Chironomidae";118100;"Family";"";;10752
"Harpacticoida";1102;"Order";"";;10675
"Neogloboquadrina pachyderma dextralis";;"Subspecies";"Neogloboquadrina pachyderma";113458;10672
"Lauderia mediterranea";163261;"Species";"Lauderia mediterranea";163261;10660
"Eurytemora";104240;"Genus";"";;10642
"Laminaria hyperborea";145725;"Species";"Laminaria hyperborea";145725;10552
"Appendicularia";103357;"Genus";"";;10551
"Rhizosolenia setigera";149115;"Species";"Rhizosolenia setigera";149115;10535
"Spirobranchus triqueter";555935;"Species";"Spirobranchus triqueter";555935;10534
"Acartia (Acanthacartia) bifilosa";345919;"Species";"Acartia (Acanthacartia) bifilosa";345919;10524
"Asterionella glacialis";148955;"Species";"Asterionella glacialis";148955;10513
"Pyramimonas";134529;"Genus";"";;10495
"Cryptophyceae";17639;"Class";"";;10471
"Noctiluca scintillans";109921;"Species";"Noctiluca scintillans";109921;10471
"Polydora cornuta";131143;"Species";"Polydora cornuta";131143;10445
"Chrysochromulina";115090;"Genus";"";;10426
"Capitella";129211;"Genus";"";;10418
"Zeus faber";127427;"Species";"Zeus faber";127427;10378
"Phyllodoce mucosa";334512;"Species";"Phyllodoce mucosa";334512;10325
"Rhizosolenia fragilissima f. fragilissima";985165;"Forma";"Rhizosolenia fragillissima";149231;10278
"Aphelochaeta marioni";129938;"Species";"Aphelochaeta marioni";129938;10270
"Abra nitida";141435;"Species";"Abra nitida";141435;10256
"Calanoida";1100;"Order";"";;10254
"Phoronis";128545;"Genus";"";;10242
"Oithona nana";106651;"Species";"Oithona nana";106651;10184
"Urticina felina";100834;"Species";"Urticina felina";100834;10128
"Sterna hirundo";137162;"Species";"Sterna hirundo";137162;10085
"Amphipoda";1135;"Order";"";;10007
"Molva molva";126461;"Species";"Molva molva";126461;10006
"Candacia armata";104474;"Species";"Candacia armata";104474;9916
"Evadne nordmanni";106273;"Species";"Evadne nordmanni";106273;9905
"Saccharina latissima";234483;"Species";"Saccharina latissima";234483;9873
"Spio filicornis";131183;"Species";"Spio filicornis";131183;9869
"Rhizosolenia flaccida";160530;"Species";"Rhizosolenia flaccida";160530;9864
"Sardina pilchardus";126421;"Species";"Sardina pilchardus";126421;9830
"Diplocirrus glaucus";130100;"Species";"Diplocirrus glaucus";130100;9808
"Calliostoma zizyphinum";141767;"Species";"Calliostoma zizyphinum";141767;9773
"Schistomysis spiritus";120206;"Species";"Schistomysis spiritus";120206;9714
"Nemertesia";117195;"Genus";"";;9595
"Bacillariophyceae";148899;"Class";"";;9562
"Bylgides sarsi";130735;"Species";"Bylgides sarsi";130735;9552
"Caryophyllia smithii";135144;"Species";"Caryophyllia smithii";135144;9522
"Ampelisca brevicornis";101891;"Species";"Ampelisca brevicornis";101891;9513
"Magelona mirabilis";130271;"Species";"Magelona mirabilis";130271;9497
"Patella vulgata";140685;"Species";"Patella vulgata";140685;9481
"Gammaridea";1207;"Suborder";"";;9474
"Cylindrotheca closterium";149004;"Species";"Cylindrotheca closterium";149004;9436
"Cerataulina bergonii";961694;"Species";"Cerataulina bergonii";961694;9412
"Lytocarpia";117002;"Genus";"";;9375
"Navicula";149142;"Genus";"";;9368
"Gymnocephalus cernua";405451;"Species";"Gymnocephalus cernua";405451;9361
"Spisula subtruncata";140302;"Species";"Spisula subtruncata";140302;9302
"Semibalanus balanoides";106210;"Species";"Semibalanus balanoides";106210;9294
"Alcidae";136987;"Family";"";;9259
"Engraulis encrasicolus";126426;"Species";"Engraulis encrasicolus";126426;9253
"Parasagitta setosa";105443;"Species";"Parasagitta setosa";105443;9112
"Ditylum brightwellii";149023;"Species";"Ditylum brightwellii";149023;9043
"Pseudotrachya";132070;"Genus";"";;8987
"Gyrodinium spirale";109876;"Species";"Gyrodinium spirale";109876;8970
"Hilbigneris gracilis";607402;"Species";"Hilbigneris gracilis";607402;8957
"Auletta";131773;"Genus";"";;8932
"Haematopus ostralegus";147436;"Species";"Haematopus ostralegus";147436;8902
"Lamellibrachia";129107;"Genus";"";;8850
"Globorotalia scitula";113452;"Species";"Globorotalia scitula";113452;8828
"Pleuromamma gracilis";104639;"Species";"Pleuromamma gracilis";104639;8785
"Entelurus aequoreus";127379;"Species";"Entelurus aequoreus";127379;8756
"Fucus vesiculosus";145548;"Species";"Fucus vesiculosus";145548;8741
"Triconia borealis";128956;"Species";"Triconia borealis";128956;8712
"Dinophysis norvegica";109637;"Species";"Dinophysis norvegica";109637;8689
"Fucus serratus";145546;"Species";"Fucus serratus";145546;8667
"Larus ridibundus";137149;"Species";"Larus ridibundus";137149;8611
"Sagitta";105410;"Genus";"";;8608
"Nucula nitidosa";140589;"Species";"Nucula nitidosa";140589;8604
"Alitta succinea";234850;"Species";"Alitta succinea";234850;8580
"Skeletonema marinoi";376667;"Species";"Skeletonema marinoi";376667;8576
"Peridiniales";109394;"Order";"";;8553
"Corallina officinalis";145108;"Species";"Corallina officinalis";145108;8542
"Glycera alba";130116;"Species";"Glycera alba";130116;8539
"Prionace glauca";105801;"Species";"Prionace glauca";105801;8532
"Argentina silus";126715;"Species";"Argentina silus";126715;8528
"Gastrosaccus spinifer";120020;"Species";"Gastrosaccus spinifer";120020;8528
"Chondrus crispus";145625;"Species";"Chondrus crispus";145625;8493
"Balanus crenatus";106215;"Species";"Balanus crenatus";106215;8484
"Dictyota dichotoma";145367;"Species";"Dictyota dichotoma";145367;8452
"Siphonophorae";1371;"Order";"";;8422
"Spiophanes kroyeri";131188;"Species";"Spiophanes kroyeri";131188;8383
"Nemertesia antennina";117809;"Species";"Nemertesia antennina";117809;8371
"Delesseria sanguinea";144744;"Species";"Delesseria sanguinea";144744;8307
"Leptocylindrus minimus";149039;"Species";"Leptocylindrus minimus";149039;8298
"Gonyaulax";109519;"Genus";"";;8275
"Gymnodiniales";109392;"Order";"";;8271
"Planctomycetaceae";565463;"Family";"";;8235
"Ophiura ophiura";124929;"Species";"Ophiura ophiura";124929;8224
"Lumpenus lampretaeformis";154675;"Species";"Lumpenus lampretaeformis";154675;8127
"Trachinus draco";127082;"Species";"Trachinus draco";127082;8093
"Plocamium cartilagineum";145782;"Species";"Plocamium cartilagineum";145782;8083
"Chamelea gallina";141907;"Species";"Chamelea gallina";141907;8071
"Mediomastus fragilis";129892;"Species";"Mediomastus fragilis";129892;8065
"Cliona celata";134121;"Species";"Cliona celata";134121;8031
"Pollachius pollachius";126440;"Species";"Pollachius pollachius";126440;8013
"Dipolydora coeca";131117;"Species";"Dipolydora coeca";131117;7988
"Calanus hyperboreus";104467;"Species";"Calanus hyperboreus";104467;7919
"Protoperidinium bipes";110208;"Species";"Protoperidinium bipes";110208;7916
"Prorocentrum cordatum";232376;"Species";"Prorocentrum cordatum";232376;7915
"Tomopteris";129715;"Genus";"";;7904
"Cerastoderma glaucum";138999;"Species";"Cerastoderma glaucum";138999;7814
"Plagioselmis prolonga";106303;"Species";"Plagioselmis prolonga";106303;7793
"Halichondria (Halichondria) panicea";165853;"Species";"Halichondria (Halichondria) panicea";165853;7749
"Caretta caretta";137205;"Species";"Caretta caretta";137205;7742
"Marthasterias glacialis";123803;"Species";"Marthasterias glacialis";123803;7739
"Chaetoceros decipiens";149126;"Species";"Chaetoceros decipiens";149126;7736
"Saduria entomon";119034;"Species";"Saduria entomon";119034;7708
"Cerianthus lloydii";283798;"Species";"Cerianthus lloydii";283798;7696
"Amphiura chiajei";125073;"Species";"Amphiura chiajei";125073;7688
"Pholoe baltica";130599;"Species";"Pholoe baltica";130599;7658
"Oikopleura";103367;"Genus";"";;7607
"Eucampia striata";163243;"Species";"Eucampia striata";163243;7548
"Mullus surmuletus";126986;"Species";"Mullus surmuletus";126986;7547
"Pomatoschistus";125999;"Genus";"";;7546
"Scophthalmus rhombus";127150;"Species";"Scophthalmus rhombus";127150;7454
"Baltidrilus costatus";743898;"Species";"Baltidrilus costatus";743898;7427
"Nephtys caeca";130355;"Species";"Nephtys caeca";130355;7412
"Labrus bergylta";126965;"Species";"Labrus bergylta";126965;7383
"Nannocalanus minor";104469;"Species";"Nannocalanus minor";104469;7353
"Blicca bjoerkna";154274;"Species";"Blicca bjoerkna";154274;7323
"Pseudo-nitzschia delicatissima";149153;"Species";"Pseudo-nitzschia delicatissima";149153;7297
"Tintinnina";732976;"Suborder";"";;7292
"Sebastes viviparus";127255;"Species";"Sebastes viviparus";127255;7287
"Mastocarpus stellatus";145650;"Species";"Mastocarpus stellatus";145650;7279
"Clavelina lepadiformis";103552;"Species";"Clavelina lepadiformis";103552;7258
"Botryllus schlosseri";103862;"Species";"Botryllus schlosseri";103862;7217
"Cryptomonadales";17640;"Order";"";;7217
"Salmo salar";127186;"Species";"Salmo salar";127186;7209
"Heterocapsa rotundata";110152;"Species";"Heterocapsa rotundata";110152;7200
"Protoperidinium depressum";110217;"Species";"Protoperidinium depressum";110217;7199
"Symphodus melops";273571;"Species";"Symphodus melops";273571;7185
"Marenzelleria viridis";131135;"Species";"Marenzelleria viridis";131135;7172
"Nassarius reticulatus";140513;"Species";"Nassarius reticulatus";140513;7115
"Spirobranchus";129582;"Genus";"";;7108
"Ammodytes marinus";126751;"Species";"Ammodytes marinus";126751;7095
"Delphinidae";136980;"Family";"";;7073
"Ennucula tenuis";140584;"Species";"Ennucula tenuis";140584;7071
"Ophiothrix fragilis";125131;"Species";"Ophiothrix fragilis";125131;7049
"Mesopodopsis slabberi";120072;"Species";"Mesopodopsis slabberi";120072;7038
"Pleuromamma borealis";104638;"Species";"Pleuromamma borealis";104638;7019
"Palmaria palmata";145771;"Species";"Palmaria palmata";145771;7002
"Microsetella norvegica";116115;"Species";"Microsetella norvegica";116115;6941
"Tellimya ferruginosa";146952;"Species";"Tellimya ferruginosa";146952;6922
"Rhodobacteraceae";393084;"Family";"";;6918
"Ophiuroidea";123084;"Class";"";;6904
"Globigerinella siphonifera";113440;"Species";"Globigerinella siphonifera";113440;6901
"Halicryptus spinulosus";101156;"Species";"Halicryptus spinulosus";101156;6888
"Parasagitta elegans";105440;"Species";"Parasagitta elegans";105440;6862
"Alitta virens";234851;"Species";"Alitta virens";234851;6854
"Orbulina universa";113460;"Species";"Orbulina universa";113460;6845
"Bathyporeia sarsi";103073;"Species";"Bathyporeia sarsi";103073;6834
"Levinsenia gracilis";130578;"Species";"Levinsenia gracilis";130578;6814
"Echinodermata";1806;"Phylum";"";;6694
"Mola mola";127405;"Species";"Mola mola";127405;6693
"Proteobacteria";178054;"Phylum";"";;6693
"Microdeutopus gryllotalpa";102048;"Species";"Microdeutopus gryllotalpa";102048;6688
"Dictyocha";157258;"Genus";"";;6681
"Nephtys ciliata";130356;"Species";"Nephtys ciliata";130356;6668
"Potamopyrgus antipodarum";147123;"Species";"Potamopyrgus antipodarum";147123;6650
"Eurytemora affinis";104872;"Species";"Eurytemora affinis";104872;6649
"Thaliacea";22626;"Class";"";;6641
"Balaenoptera borealis";137088;"Species";"Balaenoptera borealis";137088;6631
"Euglenoidea";582177;"Class";"";;6612
"Euchaeta";104174;"Genus";"";;6586
"Cyclopterus lumpus";127214;"Species";"Cyclopterus lumpus";127214;6573
"Sterna sandvicensis";137166;"Species";"Sterna sandvicensis";137166;6488
"Thalassiosira baltica";156690;"Species";"Thalassiosira baltica";156690;6472
"Centropages";104159;"Genus";"";;6462
"Cryptopleura ramosa";144743;"Species";"Cryptopleura ramosa";144743;6415
"Cylichna cylindracea";139476;"Species";"Cylichna cylindracea";139476;6410
"Galeus melastomus";105812;"Species";"Galeus melastomus";105812;6363
"Laminaria digitata";145724;"Species";"Laminaria digitata";145724;6350
