"","species","records","worms_id","rank_name"
"70","Acervulina inhaerens",3,112827,"Species"
"71",NA,4,106897,"Genus"
"72","Achaeus cranchii",45,107313,"Species"
"73",NA,17,134568,"Genus"
"74","Achelia echinata",334,134599,"Species"
"75","Achelia hispida",15,150521,"Species"
"76","Achelia laevis",15,134600,"Species"
"77",NA,328,149191,"Genus"
"78","Achnanthes brevipes",9,149387,"Species"
"79","Achnanthes longipes",18,156533,"Species"
"80","Acholoe squamosa",7,146474,"Species"
"81","Acinetospora crinita",10,145398,"Species"
"82","Acipenser sturio",17,126279,"Species"
"83","Acipenser transmontanus",2,238345,"Species"
"84","Aclis ascaris",3,138678,"Species"
"85","Aclis gulsonae",1,138680,"Species"
"86","Aclis minor",15,138681,"Species"
"87","Aclis walleri",30,138686,"Species"
"88",NA,1,114,"Family"
"89",NA,19,143799,"Genus"
"90","Acrochaetium microscopicum",18,144368,"Species"
"91","Acrochaetium moniliforme",11,144372,"Species"
"92","Acrochaetium savianum",3,144386,"Species"
"93","Acrochaetium secundatum",80,144387,"Species"
"94",NA,6,205469,"Genus"
"95","Acropora clathrata",1,207075,"Species"
"96","Acropora digitifera",1,207045,"Species"
"97","Acropora gemmifera",1,207097,"Species"
"98","Acropora hyacinthus",3,207044,"Species"
"99","Acropora loripes",3,207074,"Species"
"100","Acropora samoensis",2,207055,"Species"
"101","Acropora secale",4,207080,"Species"
"102","Acropora selago",2,207040,"Species"
"103","Acropora subulata",2,368478,"Species"
"104","Acrosiphonia arcta",17,144407,"Species"
"105","Acrosiphonia sonderi",1,144412,"Species"
"106",NA,20,143875,"Genus"
"107","Acrosorium ciliolatum",281,295874,"Species"
"108",NA,1,345685,"Genus"
"109","Acrothrix gracilis",4,144908,"Species"
"110",NA,1,117128,"Genus"
"111","Acryptolaria crassicaulis",1,117680,"Species"
"112","Actaea polyacantha",1,209021,"Species"
"113","Acteon tornatilis",291,138691,"Species"
"114","Actinauge richardi",59,100930,"Species"
"115","Actinia fragacea",148,100805,"Species"
"116","Actinia prasina",1,100806,"Species"
"117","Actiniscus pentasterias",74,109717,"Species"
"118","Actinocyclus curvatulus",45,345847,"Species"
"119","Actinocyclus normanii",41,148945,"Species"
"120","Actinocyclus normanii",9,157433,"Forma"
"121",NA,89,2283,"Genus"
"122","Actinonema pachydermatum",97,120721,"Species"
"123",NA,317,148947,"Genus"
"124","Actinoptychus octonarius",592,149163,"Species"
"125","Actinoptychus splendens",449,148949,"Species"
"126",NA,54,100773,"Genus"
"127","Actinothoe sphyrodeta",2849,100986,"Species"
"128","Actitis hypoleucos",1,212603,"Species"
"129",NA,3,138285,"Genus"
"130","Adalaria proxima",31,140629,"Species"
"131",NA,33,100751,"Genus"
"132",NA,5,109525,"Genus"
"133","Adenoides eludens",25,110069,"Species"
"134",NA,19,2565,"Genus"
"135","Adoncholaimus panicus",13,122125,"Species"
"136","Adreus fascicularis",54,134155,"Species"
"137",NA,3,129475,"Genus"
"138","Aega psora",29,118827,"Species"
"139","Aegaeon cataphractus",25,107548,"Species"
"140","Aegaeon lacazei",31,107549,"Species"
"141",NA,139,2381,"Genus"
"142",NA,1,101429,"Genus"
"143",NA,23,116995,"Genus"
"144","Aegires leuckarti",25,138704,"Species"
"145","Aegires punctilucens",14,138706,"Species"
"146",NA,394,115186,"Genus"
"147",NA,5,137630,"Genus"
"148","Aeolidia papillosa",110,138709,"Species"
"149","Aeolidiella alderi",5,138710,"Species"
"150","Aeolidiella glauca",39,138711,"Species"
"151","Aeolidiella sanguinea",2,138714,"Species"
"152",NA,13,138313,"Genus"
"153","Aequipecten commutatus",1,140686,"Species"
"154","Aequipecten opercularis",2125,140687,"Species"
"155",NA,17,116998,"Genus"
"156","Aequorea conica",3,117269,"Species"
"157","Aequorea victoria",6,283998,"Species"
"158","Aequorea vitrina",3,117273,"Species"
"159","Aeropsis rostrata",4,124367,"Species"
"160",NA,27,110819,"Genus"
"161","Aetea anguina",51,111062,"Species"
"162","Aetea sica",22,111066,"Species"
"163","Aetea truncata",19,111067,"Species"
"164","Aethaloperca rogaa",1,218168,"Species"
"165","Aethozoon pellucidum",3,111593,"Species"
"166",NA,13,104075,"Family"
"167",NA,1,104111,"Genus"
"168","Aetideopsis multiserrata",17,104270,"Species"
"169",NA,400,104112,"Genus"
"170","Aetideus armatus",639,104275,"Species"
"171","Aetobatus flagellum",1,278241,"Species"
"172",NA,352,135385,"Genus"
"173","Agalma okeni",3,135485,"Species"
"174","Agelas oroides",9,132454,"Species"
"175","Aglaja tricolorata",25,138728,"Species"
"176",NA,131,117212,"Genus"
"177",NA,2116,116999,"Genus"
"178","Aglaophenia acacia",3,117274,"Species"
"179","Aglaophenia harpago",64,117276,"Species"
"180","Aglaophenia kirchenpaueri",25,117277,"Species"
"181","Aglaophenia parvula",14,117281,"Species"
"182","Aglaophenia pluma",365,117283,"Species"
"183","Aglaophenia tubulifera",444,117285,"Species"
"184",NA,11,1605,"Family"
"185",NA,93,143825,"Genus"
"186","Aglaothamnion bipinnatum",11,144489,"Species"
"187","Aglaothamnion gallicum",4,144495,"Species"
"188","Aglaothamnion hookeri",61,144496,"Species"
"189","Aglaothamnion pseudobyssoides",2,144498,"Species"
"190","Aglaothamnion roseum",1,144499,"Species"
"191","Aglaothamnion sepositum",54,144500,"Species"
"192","Aglaothamnion tenuissimum",62,144501,"Species"
"193","Aglaothamnion tripinnatum",1,144502,"Species"
"194","Aglaura hemistoma",7,117851,"Species"
"195","Agonus cataphractus",14566,127190,"Species"
"196","Ahliesaurus berryi",2,126347,"Species"
"197",NA,2,143806,"Genus"
"198","Ahnfeltia plicata",228,144422,"Species"
"199","Aidablennius sphynx",2,126760,"Species"
"200","Aiptasia mutabilis",304,100859,"Species"
"201","Aiptasiogeton pellucidus",1,100860,"Species"
"202",NA,1,137641,"Genus"
"203","Aktedrilus monospermathecus",1,137507,"Species"
"204",NA,3,2399,"Genus"
"205",NA,4,144194,"Genus"
"206","Alaria esculenta",578,145716,"Species"
"207","Alburnus alburnus",523,154285,"Species"
"208","Alca torda",4092,137128,"Species"
"209","Alciopa reynaudii",2,129749,"Species"
"210",NA,3,110783,"Family"
"211",NA,163,110993,"Genus"
"212","Alcyonidium albidum",13,111594,"Species"
"213","Alcyonidium cellarioides",4,111596,"Species"
"214","Alcyonidium condylocinereum",3,153730,"Species"
"215","Alcyonidium diaphanum",3457,111597,"Species"
"216","Alcyonidium gelatinosum",196,111600,"Species"
"217","Alcyonidium hirsutum",255,111601,"Species"
"218","Alcyonidium mamillatum",9,111602,"Species"
"219","Alcyonidium parasiticum",128,111604,"Species"
"220","Alcyonidium polyoum",16,153717,"Species"
"221","Alcyonium acaule",34,125331,"Species"
"222","Alcyonium coralloides",15,125332,"Species"
"223","Alcyonium digitatum",9590,125333,"Species"
"224","Alcyonium glomeratum",854,132159,"Species"
"225","Alcyonium palmatum",122,125334,"Species"
"226","Alderia modesta",9,141555,"Species"
"227","Alderina imbellis",38,111184,"Species"
"228","Aldrovandia phalacra",5,126638,"Species"
"229","Alentia gelatinosa",143,130722,"Species"
"230","Alepes djedaba",2,126800,"Species"
"231","Alepisaurus brevirostris",8,126332,"Species"
"232","Alepisaurus ferox",2,126333,"Species"
"233","Alepocephalus agassizii",30,126681,"Species"
"234","Alepocephalus bairdii",7,126682,"Species"
"235","Alepocephalus productus",17,126683,"Species"
"236","Alepocephalus rostratus",36,126684,"Species"
"237","Alicia mirabilis",3,100862,"Species"
"238","Alitta succinea",3358,234850,"Species"
"239","Alitta virens",1609,234851,"Species"
"240","Alkmaria romijni",522,129769,"Species"
"241","Alle alle",666,137129,"Species"
"242","Allocyttus verrucosus",1,127422,"Species"
"243",NA,8,138138,"Genus"
"244","Alloteuthis media",365,153134,"Species"
"245","Alloteuthis subulata",5417,153131,"Species"
"246",NA,2,148383,"Genus"
"247","Alona rectangula",2,148405,"Species"
"248","Alosa alosa",125,126413,"Species"
"249","Alosa fallax",1120,126415,"Species"
"250",NA,14,106776,"Family"
"251",NA,4,106978,"Genus"
"252","Alpheus dentipes",17,107475,"Species"
"253","Alpheus glaber",100,107477,"Species"
"254","Alpheus lobidens",1,107478,"Species"
"255","Alpheus lottini",3,210544,"Species"
"256","Alpheus macrocheles",25,107479,"Species"
"257","Alpheus platydactylus",1,107481,"Species"
"258","Altenaeum dawsoni",16,152312,"Species"
"259",NA,190,115427,"Genus"
"260",NA,53,138439,"Genus"
"261","Alvania cancellata",8,141165,"Species"
"262","Alvania carinata",1,141166,"Species"
"263","Alvania cimicoides",6,141168,"Species"
"264","Alvania discors",34,141181,"Species"
"265","Alvania lactea",10,141203,"Species"
"266","Alvania lineata",30,141207,"Species"
"267","Alvania parvula",1,141223,"Species"
"268","Alvania punctura",60,141230,"Species"
"269","Alvania subsoluta",16,141247,"Species"
"270","Alvania tenera",25,141249,"Species"
"271","Alvinocaris markensis",4,378091,"Species"
"272","Amaeana trilobata",551,131471,"Species"
"273","Amage adspersa",50,129770,"Species"
"274","Amage auricula",236,129771,"Species"
"275","Amallothrix falcifer",1,104769,"Species"
"276","Amallothrix valida",2,220858,"Species"
"277","Amalosoma eddystonense",9,110360,"Species"
"278","Amathia lendigera",207,111659,"Species"
"279","Amauropsis islandica",1,140521,"Species"
"280","Ambassis gymnocephalus",1,220044,"Species"
"281","Amblyeleotris diagonalis",1,209269,"Species"
"282",NA,5,119832,"Genus"
"283",NA,1,129645,"Genus"
"284","Amblyosyllis formosa",20,131245,"Species"
"285","Amblyosyllis madeirensis",1,131249,"Species"
"286",NA,1,105760,"Genus"
"287","Amblyraja jenseni",6,105864,"Species"
"288","Amblyraja radiata",17841,105865,"Species"
"289",NA,2,115188,"Genus"
"290","Ameira longipes",1,115517,"Species"
"291","Ameira parvula",28,115521,"Species"
"292",NA,2,115135,"Family"
"293","Ameloctopus litoralis",3,342270,"Species"
"294",NA,8,112345,"Genus"
"295",NA,4,112290,"Genus"
"296","Ammodytes marinus",3301,126751,"Species"
"297","Ammodytes tobianus",2298,126752,"Species"
"298","Ammolagena clavata",3,113827,"Species"
"299","Ammonia tepida",3,112857,"Species"
"300","Ammonicera fischeriana",30,140612,"Species"
"301",NA,3,112322,"Genus"
"302",NA,3,1562,"Family"
"303","Ammothella longipes",27,134614,"Species"
"304","Ampelisca abdita",1,158020,"Species"
"305","Ampelisca armoricana",322,101888,"Species"
"306","Ampelisca calypsonis",2,101892,"Species"
"307","Ampelisca eschrichtii",66,101897,"Species"
"308","Ampelisca ledoyeri",6,101906,"Species"
"309","Ampelisca massiliensis",1,101909,"Species"
"310","Ampelisca multispinosa",5,101911,"Species"
"311","Ampelisca provincialis",8,101915,"Species"
"312","Ampelisca pseudospinimana",28,101917,"Species"
"313","Ampelisca rubella",1,101920,"Species"
"314","Ampelisca ruffoi",1,101922,"Species"
"315","Ampelisca sarsi",452,101923,"Species"
"316","Ampelisca spinimana",74,101927,"Species"
"317","Ampelisca truncata",14,101932,"Species"
"318",NA,176,101364,"Family"
"319","Amperima furcata",8,124722,"Species"
"320","Amperima rosea",3,124723,"Species"
"321","Ampharete acutifrons",965,129775,"Species"
"322","Ampharete arctica",20,159916,"Species"
"323","Ampharete baltica",2271,129776,"Species"
"324","Ampharete falcata",591,129777,"Species"
"325","Ampharete finmarchica",531,129778,"Species"
"326","Ampharete goesi",9,129779,"Species"
"327","Ampharete grubei",253,152272,"Species"
"328","Ampharete lindstroemi",2282,129781,"Species"
"329",NA,2,100753,"Genus"
"330","Amphianthus michaelsarsi",4,100942,"Species"
"331","Amphiascoides subdebilis",2,115905,"Species"
"332",NA,4,110849,"Genus"
"333","Amphiblestrum auritum",90,111186,"Species"
"334","Amphiblestrum flemingii",41,111187,"Species"
"335","Amphiblestrum solidum",4,111190,"Species"
"336","Amphicoryna scalaris",4,113780,"Species"
"337",NA,8,129156,"Genus"
"338","Amphicteis gunneri",757,129784,"Species"
"339","Amphicteis midas",37,129785,"Species"
"340","Amphictene auricoma",1177,152448,"Species"
"341","Amphidiniopsis swedmarkii",1,110270,"Species"
"342","Amphidinium acutissimum",18,109718,"Species"
"343","Amphidinium carterae",14,109723,"Species"
"344","Amphidinium extensum",14,232577,"Species"
"345","Amphidinium globosum",2,109730,"Species"
"346","Amphidinium herdmanii",2,109731,"Species"
"347","Amphidinium longum",205,109741,"Species"
"348","Amphidinium sphenoides",868,109754,"Species"
"349",NA,3,129521,"Genus"
"350","Amphiglena mediterranea",90,130869,"Species"
"351",NA,8,131933,"Genus"
"352","Amphilectus fucorum",2909,150225,"Species"
"353",NA,3,123608,"Genus"
"354","Amphilepis norvegica",143,125057,"Species"
"355",NA,28,101450,"Genus"
"356","Amphilochus spencebatei",27,101971,"Species"
"357",NA,1,166654,"Genus"
"358",NA,15,2452,"Genus"
"359","Amphimonhystera anechma",21,121508,"Species"
"360",NA,94,156741,"Genus"
"361","Amphinema dinema",10,117778,"Species"
"362","Amphiophiura bullata",1,125224,"Subspecies"
"363",NA,2,123612,"Genus"
"364","Amphipholis squamata",2535,125064,"Species"
"365",NA,6,122391,"Genus"
"366","Amphiporus allucens",1,122644,"Species"
"367","Amphiporus bioculatus",6,122651,"Species"
"368","Amphiporus lactifloreus",6,122666,"Species"
"369",NA,4,205723,"Genus"
"370","Amphiprion bicinctus",43,212778,"Species"
"371","Amphiprion chrysopterus",2,278393,"Species"
"372","Amphiprion clarkii",2,212783,"Species"
"373","Amphiprion ocellaris",1,278400,"Species"
"374","Amphiprion percula",11,278402,"Species"
"375",NA,11,149140,"Genus"
"376","Amphiroa rigida",7,145100,"Species"
"377",NA,14,117226,"Genus"
"378","Amphisbetia operculata",69,117874,"Species"
"379",NA,51,109459,"Genus"
"380","Amphisorus hemprichii",13,112822,"Species"
"381","Amphissa acutecostata",1,139190,"Species"
"382",NA,1,101508,"Genus"
"383","Amphithyrus sculpturatus",2,236616,"Species"
"384",NA,56,129686,"Genus"
"385","Amphitrite variabilis",18,131479,"Species"
"386","Amphitritides gracilis",89,131480,"Species"
"387",NA,2031,123613,"Genus"
"388","Amphiura (Ophiopeltis) securigera",116,125195,"Species"
"389","Amphiura chiajei",4378,125073,"Species"
"390","Amphiura filiformis",8177,125080,"Species"
"391","Amphiura griegi",4,125084,"Species"
"392","Amphiura mediterranea",7,125089,"Species"
"393","Amphiura otteri",11,125092,"Species"
"394","Amphiura sundevalli",5,125100,"Species"
"395",NA,730,123206,"Family"
"396",NA,670,149200,"Genus"
"397","Amphora arenaria",7,149528,"Species"
"398","Amphora commutata",7,163655,"Species"
"399","Amphora hyalina",4,160700,"Species"
"400","Amphora lineolata",1,160704,"Species"
"401","Amphora ostrearia",20,149529,"Species"
"402","Amphora ovalis",89,149524,"Species"
"403","Amphora proteus",1,149202,"Species"
"404","Amphorides minor",3,183565,"Species"
"405","Amphorides quadrilineata",3,235769,"Species"
"406",NA,93,101459,"Genus"
"407",NA,5,101366,"Family"
"408","Amythasides macroglossus",379,129788,"Species"
"409",NA,1349,146585,"Genus"
"410","Anadara inaequivalvis",53,138785,"Species"
"411","Anadara transversa",17,156734,"Species"
"412","Anadyomene stellata",51,145012,"Species"
"413","Anampses lineatus",1,218921,"Species"
"414","Anapagurus bicorniger",30,107213,"Species"
"415","Anapagurus breviaculeatus",103,107214,"Species"
"416","Anapagurus chiroacanthus",98,107215,"Species"
"417","Anapagurus laevis",307,107218,"Species"
"418","Anaptychia runcinata",10,147742,"Species"
"419","Anarhichas denticulatus",18,126757,"Species"
"420","Anarhichas lupus",543,126758,"Species"
"421","Anarthropora monodon",5,111059,"Species"
"422",NA,8,148788,"Genus"
"423","Anas platyrhynchos",18,148791,"Species"
"424",NA,3,138464,"Genus"
"425","Anatoma crispata",27,141417,"Species"
"426","Anchialina agilis",11,119950,"Species"
"427","Ancilla lineolata",1,208355,"Species"
"428","Ancistrosyllis groenlandica",244,130695,"Species"
"429","Ancistroteuthis lichtensteinii",42,140647,"Species"
"430","Ancula gibbosa",30,140029,"Species"
"431",NA,15,101749,"Genus"
"432",NA,4,101750,"Genus"
"433",NA,85,100695,"Genus"
"434","Anemonia sulcata",67,231858,"Species"
"435",NA,1,125620,"Genus"
"436","Anguilla anguilla",4271,126281,"Species"
"437","Anguinella palmata",44,111631,"Species"
"438",NA,2,146491,"Genus"
"439",NA,5,146493,"Genus"
"440","Anisarchus medius",1,127070,"Species"
"441",NA,9,8030,"Genus"
"442",NA,6,163489,"Genus"
"443","Annectocyma major",4,111679,"Species"
"444","Anobothrus gracilis",1601,129789,"Species"
"445",NA,1,138143,"Genus"
"446",NA,2,104206,"Genus"
"447","Anomalocera patersoni",491,104722,"Species"
"448","Anomia ephippium",369,138748,"Species"
"449",NA,571,214,"Family"
"450","Anomocora fecunda",3,135130,"Species"
"451",NA,2,153416,"Genus"
"452",NA,89,106671,"Infraorder"
"453",NA,85,101592,"Genus"
"454",NA,14,134592,"Genus"
"455","Anoplodactylus angulatus",18,134714,"Species"
"456","Anoplodactylus arnaudae",2,134715,"Species"
"457","Anoplodactylus pygmaeus",16,134725,"Species"
"458","Anoplodactylus virescens",5,134730,"Species"
"459","Anoplogaster cornuta",41,126393,"Species"
"460","Anoplostoma exceptum",9,121762,"Species"
"461","Anotrichium barbatum",1,144504,"Species"
"462","Anotrichium furcellatum",40,144505,"Species"
"463",NA,4,159158,"Genus"
"464","Anseropoda placenta",212,123985,"Species"
"465",NA,33,150531,"Genus"
"466","Antalis entalis",720,150534,"Species"
"467","Antalis occidentalis",229,196377,"Species"
"468","Antalis vulgaris",139,196380,"Species"
"469",NA,103,123349,"Genus"
"470","Antedon bifida",2018,124201,"Species"
"471","Antedon mediterranea",73,124208,"Species"
"472","Antedon petasus",137,124210,"Species"
"473","Antennarius maculatus",2,217850,"Species"
"474","Antennarius pictus",1,217851,"Species"
"475","Antennella secundaria",95,117628,"Species"
"476","Anthias anthias",247,127031,"Species"
"477",NA,1287,131865,"Genus"
"478",NA,1,125285,"Genus"
"479","Anthomastus grandiflorus",2,125335,"Species"
"480",NA,4,100696,"Genus"
"481","Anthopleura thallia",6,100812,"Species"
"482","Anthoptilum murrayi",1,128505,"Species"
"483","Anthothela grandiflora",1,125414,"Species"
"484",NA,1,118288,"Genus"
"485","Anthura gracilis",132,118467,"Species"
"486",NA,31,118244,"Family"
"487","Anthus petrosus",2,232063,"Species"
"488",NA,23,2500,"Genus"
"489","Anticoma acuminata",16,121767,"Species"
"490",NA,1,2473,"Genus"
"491","Antimora rostrata",64,126486,"Species"
"492","Antipathella subpinnata",17,289447,"Species"
"493","Antipathes dichotoma",1,103309,"Species"
"494",NA,11,143827,"Genus"
"495","Antithamnion cruciatum",122,144509,"Species"
"496","Antithamnion villosum",13,144517,"Species"
"497",NA,12,2400,"Genus"
"498","Antomicron elegans",22,121248,"Species"
"499","Anurida maritima",243,118139,"Species"
"500",NA,33,101464,"Genus"
"501","Aora spinicornis",6,102013,"Species"
"502",NA,1011,101368,"Family"
"503",NA,112,248096,"Genus"
"504",NA,56,126095,"Genus"
"505","Aphanopus carbo",80,127085,"Species"
"506","Aphelochaeta filiformis",152,129937,"Species"
"507","Aphelochaeta marioni",3681,129938,"Species"
"508","Aphelochaeta mcintoshi",5,129939,"Species"
"509",NA,41,101509,"Genus"
"510","Apherusa mediterranea",1,102169,"Species"
"511",NA,1,125976,"Genus"
"512","Aphia minuta",383,126868,"Species"
"513","Aphotopontius atlanteus",29,135800,"Species"
"514","Aphrocallistes beatrix",4,134380,"Species"
"515","Aphroceras ensata",5,132172,"Species"
"516","Aphrodita aculeata",1498,129840,"Species"
"517","Aphrodita alta",1,129841,"Species"
"518","Apistobranchus tenuis",173,129850,"Species"
"519","Apletodon dentatus",21,126510,"Species"
"520",NA,224,103471,"Genus"
"521","Aplidium albicans",1,103634,"Species"
"522","Aplidium densum",22,103642,"Species"
"523","Aplidium glabrum",11,103647,"Species"
"524","Aplidium nordmanni",309,103656,"Species"
"525","Aplidium pallidum",58,103658,"Species"
"526","Aplidium proliferum",48,103660,"Species"
"527","Aplidium punctum",1336,103662,"Species"
"528",NA,3,103434,"Order"
"529","Aplysia depilans",19,138754,"Species"
"530","Aplysia fasciata",40,138755,"Species"
"531","Aplysia parvula",27,138757,"Species"
"532","Aplysia punctata",845,138758,"Species"
"533",NA,36,131738,"Genus"
"534","Aplysilla rosea",72,132296,"Species"
"535","Aplysilla sulfurea",97,236120,"Species"
"536",NA,4,131975,"Genus"
"537","Aplysina aerophoba",40,133911,"Species"
"538","Apocorophium acutum",46,148604,"Species"
"539","Apocorophium lacustre",33,148594,"Species"
"540",NA,1,123108,"Order"
"541",NA,6,143877,"Genus"
"542","Apoglossum ruscifolium",171,144737,"Species"
"543","Apogon imberbis",110,273021,"Species"
"544",NA,3,135393,"Genus"
"545","Apolemia uvaria",11,135497,"Species"
"546","Apolemichthys xanthotis",1,211791,"Species"
"547","Apolemichthys xanthurus",2,211789,"Species"
"548",NA,1,129558,"Genus"
"549","Apomatus similis",25,130984,"Species"
"550",NA,17,2363,"Genus"
"551","Aponuphis bilineata",1160,130452,"Species"
"552","Aponuphis brementi",176,130454,"Species"
"553","Aporrhais pespelecani",608,138760,"Species"
"554","Aporrhais serresianus",138,138761,"Species"
"555","Appendicularia sicula",2,103370,"Species"
"556",NA,1,105727,"Genus"
"557","Apristurus aphyodes",6,105806,"Species"
"558","Apristurus laurussonii",4,105807,"Species"
"559","Apristurus manis",15,105808,"Species"
"560","Apseudes spinosus",141,136284,"Species"
"561","Apseudes talpa",101,136285,"Species"
"562",NA,7,136153,"Family"
"563","Apterichtus anguiformis",1,126311,"Species"
"564","Apterichtus caecus",8,126312,"Species"
"565","Arabella geniculata",14,129853,"Species"
"566","Arabella iricolor",189,129854,"Species"
"567","Arachnanthus sarsi",10,101007,"Species"
"568",NA,11,1300,"Class"
"569","Arachnidium fibrosum",3,111607,"Species"
"570","Arachnidium hippothooides",2,111608,"Species"
"571",NA,18,2436,"Genus"
"572","Araeolaimus penelope",1,121392,"Species"
"573",NA,2,123396,"Genus"
"574","Araphura brevimanus",157,136344,"Species"
"575","Araphura filiformis",23,136346,"Species"
"576",NA,5,123371,"Genus"
"577","Arbacia lixula",73,124249,"Species"
"578","Arbacia punctulata",1,158058,"Species"
"579",NA,1,137670,"Genus"
"580","Arca noae",41,138788,"Species"
"581","Arca tetragona",21,138789,"Species"
"582",NA,8,103452,"Genus"
"583","Archidistoma aggregatum",76,103548,"Species"
"584","Archilopsis arenaria",1,143524,"Species"
"585","Architeuthis dux",7,342218,"Species"
"586",NA,6,208,"Family"
"587","Arcopagia crassa",156,141577,"Species"
"588","Arcoscalpellum michelottianum",1,106182,"Species"
"589",NA,1,137675,"Genus"
"590","Arctica islandica",4366,138802,"Species"
"591","Ardea cinerea",20,212668,"Species"
"592","Arenaria interpres",20,147431,"Species"
"593",NA,396,129206,"Genus"
"594","Arenicola defodiens",33,129867,"Species"
"595","Arenicolides ecaudata",64,129870,"Species"
"596","Arenicolides grubii",2,129871,"Species"
"597","Arenopontia subterranea",2,348966,"Species"
"598","Arenosetella tenuissima",19,116030,"Species"
"599","Arete indica",1,221011,"Species"
"600",NA,267,125885,"Genus"
"601","Argentina silus",4709,126715,"Species"
"602","Argentina sphyraena",33035,126716,"Species"
"603","Argonauta argo",3,138803,"Species"
"604",NA,6,104071,"Genus"
"605","Argulus foliaceus",4,234067,"Species"
"606",NA,4,126196,"Genus"
"607","Argyropelecus gigas",2,127308,"Species"
"608","Argyropelecus hemigymnus",242,127309,"Species"
"609","Argyropelecus olfersii",33,274967,"Species"
"610","Argyrosomus regius",62,127007,"Species"
"611","Argyrotheca cistellula",3,104063,"Species"
"612","Aricidea (Acmira) simplex",7,333037,"Species"
"613","Aricidea abranchiata",10,130548,"Species"
"614","Aricidea annae",11,130551,"Species"
"615","Aricidea neosuecica",1,130566,"Species"
"616","Arietellus setosus",3,104352,"Species"
"617","Ariosoma balearicum",9,126283,"Species"
"618","Aristaeopsis edwardsiana",3,240796,"Species"
"619","Aristeus antennatus",295,107083,"Species"
"620","Aristostomias tittmanni",1,127319,"Species"
"621","Armandia cirrhosa",57,130485,"Species"
"622","Armandia polyophthalma",90,130486,"Species"
"623","Armina loveni",9,138804,"Species"
"624","Armina maculata",3,138805,"Species"
"625",NA,113,126109,"Genus"
"626","Arnoglossus imperialis",5132,127124,"Species"
"627","Arnoglossus laterna",19460,127126,"Species"
"628","Arothron nigropunctatus",8,219921,"Species"
"629","Arothron stellatus",7,219928,"Species"
"630","Aroui setosus",1,102525,"Species"
"631","Artacama proboscidea",206,131482,"Species"
"632","Artediellus atlanticus",33,127193,"Species"
